group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Array accumulation with SIMD instructions,,,,,1435100.0,ns,12389
Array accumulation with SIMD instructions,,,,,2846300.0,ns,24778
Array accumulation with SIMD instructions,,,,,4268100.0,ns,37167
Array accumulation with SIMD instructions,,,,,5763300.0,ns,49556
Array accumulation with SIMD instructions,,,,,5073500.0,ns,61945
Array accumulation with SIMD instructions,,,,,5805000.0,ns,74334
Array accumulation with SIMD instructions,,,,,6779800.0,ns,86723
Array accumulation with SIMD instructions,,,,,7681000.0,ns,99112
Array accumulation with SIMD instructions,,,,,8632500.0,ns,111501
Array accumulation with SIMD instructions,,,,,9533900.0,ns,123890
Array accumulation with SIMD instructions,,,,,10509800.0,ns,136279
Array accumulation with SIMD instructions,,,,,11446600.0,ns,148668
Array accumulation with SIMD instructions,,,,,12400200.0,ns,161057
Array accumulation with SIMD instructions,,,,,13354600.0,ns,173446
Array accumulation with SIMD instructions,,,,,14447000.0,ns,185835
Array accumulation with SIMD instructions,,,,,15389900.0,ns,198224
Array accumulation with SIMD instructions,,,,,16213400.0,ns,210613
Array accumulation with SIMD instructions,,,,,17164700.0,ns,223002
Array accumulation with SIMD instructions,,,,,18117500.0,ns,235391
Array accumulation with SIMD instructions,,,,,19071600.0,ns,247780
Array accumulation with SIMD instructions,,,,,20026700.0,ns,260169
Array accumulation with SIMD instructions,,,,,20993600.0,ns,272558
Array accumulation with SIMD instructions,,,,,21932600.0,ns,284947
Array accumulation with SIMD instructions,,,,,22897600.0,ns,297336
Array accumulation with SIMD instructions,,,,,23848200.0,ns,309725
Array accumulation with SIMD instructions,,,,,24793600.0,ns,322114
Array accumulation with SIMD instructions,,,,,25756800.0,ns,334503
Array accumulation with SIMD instructions,,,,,26705700.0,ns,346892
Array accumulation with SIMD instructions,,,,,27821500.0,ns,359281
Array accumulation with SIMD instructions,,,,,28809000.0,ns,371670
Array accumulation with SIMD instructions,,,,,29751400.0,ns,384059
Array accumulation with SIMD instructions,,,,,30747700.0,ns,396448
Array accumulation with SIMD instructions,,,,,31670100.0,ns,408837
Array accumulation with SIMD instructions,,,,,32632400.0,ns,421226
Array accumulation with SIMD instructions,,,,,33594200.0,ns,433615
Array accumulation with SIMD instructions,,,,,34552200.0,ns,446004
Array accumulation with SIMD instructions,,,,,35511000.0,ns,458393
Array accumulation with SIMD instructions,,,,,36363800.0,ns,470782
Array accumulation with SIMD instructions,,,,,37236000.0,ns,483171
Array accumulation with SIMD instructions,,,,,38144600.0,ns,495560
Array accumulation with SIMD instructions,,,,,39099200.0,ns,507949
Array accumulation with SIMD instructions,,,,,40052900.0,ns,520338
Array accumulation with SIMD instructions,,,,,41021800.0,ns,532727
Array accumulation with SIMD instructions,,,,,41965000.0,ns,545116
Array accumulation with SIMD instructions,,,,,42935000.0,ns,557505
Array accumulation with SIMD instructions,,,,,43901900.0,ns,569894
Array accumulation with SIMD instructions,,,,,44863400.0,ns,582283
Array accumulation with SIMD instructions,,,,,45787700.0,ns,594672
Array accumulation with SIMD instructions,,,,,46732300.0,ns,607061
Array accumulation with SIMD instructions,,,,,47691700.0,ns,619450
Array accumulation with SIMD instructions,,,,,48642600.0,ns,631839
Array accumulation with SIMD instructions,,,,,49602700.0,ns,644228
Array accumulation with SIMD instructions,,,,,50547000.0,ns,656617
Array accumulation with SIMD instructions,,,,,51531800.0,ns,669006
Array accumulation with SIMD instructions,,,,,52461100.0,ns,681395
Array accumulation with SIMD instructions,,,,,53422500.0,ns,693784
Array accumulation with SIMD instructions,,,,,54353600.0,ns,706173
Array accumulation with SIMD instructions,,,,,55323100.0,ns,718562
Array accumulation with SIMD instructions,,,,,56274600.0,ns,730951
Array accumulation with SIMD instructions,,,,,57253100.0,ns,743340
Array accumulation with SIMD instructions,,,,,58173500.0,ns,755729
Array accumulation with SIMD instructions,,,,,59138900.0,ns,768118
Array accumulation with SIMD instructions,,,,,60088200.0,ns,780507
Array accumulation with SIMD instructions,,,,,61052100.0,ns,792896
Array accumulation with SIMD instructions,,,,,62026300.0,ns,805285
Array accumulation with SIMD instructions,,,,,62965700.0,ns,817674
Array accumulation with SIMD instructions,,,,,63902700.0,ns,830063
Array accumulation with SIMD instructions,,,,,64853100.0,ns,842452
Array accumulation with SIMD instructions,,,,,65841600.0,ns,854841
Array accumulation with SIMD instructions,,,,,66754600.0,ns,867230
Array accumulation with SIMD instructions,,,,,67729900.0,ns,879619
Array accumulation with SIMD instructions,,,,,68672500.0,ns,892008
Array accumulation with SIMD instructions,,,,,69618000.0,ns,904397
Array accumulation with SIMD instructions,,,,,70581700.0,ns,916786
Array accumulation with SIMD instructions,,,,,71527400.0,ns,929175
Array accumulation with SIMD instructions,,,,,72515600.0,ns,941564
Array accumulation with SIMD instructions,,,,,73451200.0,ns,953953
Array accumulation with SIMD instructions,,,,,91716500.0,ns,966342
Array accumulation with SIMD instructions,,,,,79313300.0,ns,978731
Array accumulation with SIMD instructions,,,,,76353800.0,ns,991120
Array accumulation with SIMD instructions,,,,,77398800.0,ns,1003509
Array accumulation with SIMD instructions,,,,,78278000.0,ns,1015898
Array accumulation with SIMD instructions,,,,,79303300.0,ns,1028287
Array accumulation with SIMD instructions,,,,,80197900.0,ns,1040676
Array accumulation with SIMD instructions,,,,,81463000.0,ns,1053065
Array accumulation with SIMD instructions,,,,,82709600.0,ns,1065454
Array accumulation with SIMD instructions,,,,,83790000.0,ns,1077843
Array accumulation with SIMD instructions,,,,,84533800.0,ns,1090232
Array accumulation with SIMD instructions,,,,,84900600.0,ns,1102621
Array accumulation with SIMD instructions,,,,,85972300.0,ns,1115010
Array accumulation with SIMD instructions,,,,,87146100.0,ns,1127399
Array accumulation with SIMD instructions,,,,,88033400.0,ns,1139788
Array accumulation with SIMD instructions,,,,,89007100.0,ns,1152177
Array accumulation with SIMD instructions,,,,,89797400.0,ns,1164566
Array accumulation with SIMD instructions,,,,,90587600.0,ns,1176955
