group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Array accumulation,,,,,1454300.0,ns,63
Array accumulation,,,,,2582500.0,ns,126
Array accumulation,,,,,2955900.0,ns,189
Array accumulation,,,,,3917300.0,ns,252
Array accumulation,,,,,4881800.0,ns,315
Array accumulation,,,,,5866300.0,ns,378
Array accumulation,,,,,6826900.0,ns,441
Array accumulation,,,,,7810800.0,ns,504
Array accumulation,,,,,8779200.0,ns,567
Array accumulation,,,,,9769200.0,ns,630
Array accumulation,,,,,10736600.0,ns,693
Array accumulation,,,,,11716900.0,ns,756
Array accumulation,,,,,12752700.0,ns,819
Array accumulation,,,,,13717400.0,ns,882
Array accumulation,,,,,14746600.0,ns,945
Array accumulation,,,,,15647600.0,ns,1008
Array accumulation,,,,,16606100.0,ns,1071
Array accumulation,,,,,17590800.0,ns,1134
Array accumulation,,,,,18536800.0,ns,1197
Array accumulation,,,,,19536600.0,ns,1260
Array accumulation,,,,,20515900.0,ns,1323
Array accumulation,,,,,21474500.0,ns,1386
Array accumulation,,,,,22461100.0,ns,1449
Array accumulation,,,,,23431400.0,ns,1512
Array accumulation,,,,,24411400.0,ns,1575
Array accumulation,,,,,25457200.0,ns,1638
Array accumulation,,,,,26659700.0,ns,1701
Array accumulation,,,,,27417000.0,ns,1764
Array accumulation,,,,,28317800.0,ns,1827
Array accumulation,,,,,29290000.0,ns,1890
Array accumulation,,,,,30258500.0,ns,1953
Array accumulation,,,,,31295200.0,ns,2016
Array accumulation,,,,,32237600.0,ns,2079
Array accumulation,,,,,33228800.0,ns,2142
Array accumulation,,,,,34187200.0,ns,2205
Array accumulation,,,,,35224400.0,ns,2268
Array accumulation,,,,,36287000.0,ns,2331
Array accumulation,,,,,37141200.0,ns,2394
Array accumulation,,,,,38091600.0,ns,2457
Array accumulation,,,,,39104200.0,ns,2520
Array accumulation,,,,,40035100.0,ns,2583
Array accumulation,,,,,41054300.0,ns,2646
Array accumulation,,,,,42039500.0,ns,2709
Array accumulation,,,,,43018500.0,ns,2772
Array accumulation,,,,,43948800.0,ns,2835
Array accumulation,,,,,44969400.0,ns,2898
Array accumulation,,,,,45926300.0,ns,2961
Array accumulation,,,,,46915100.0,ns,3024
Array accumulation,,,,,47885300.0,ns,3087
Array accumulation,,,,,48949200.0,ns,3150
Array accumulation,,,,,50096100.0,ns,3213
Array accumulation,,,,,50920700.0,ns,3276
Array accumulation,,,,,51839400.0,ns,3339
Array accumulation,,,,,52673100.0,ns,3402
Array accumulation,,,,,53733000.0,ns,3465
Array accumulation,,,,,54728400.0,ns,3528
Array accumulation,,,,,55788300.0,ns,3591
Array accumulation,,,,,56667800.0,ns,3654
Array accumulation,,,,,57862100.0,ns,3717
Array accumulation,,,,,58656800.0,ns,3780
Array accumulation,,,,,59622600.0,ns,3843
Array accumulation,,,,,60680700.0,ns,3906
Array accumulation,,,,,61546200.0,ns,3969
Array accumulation,,,,,62559000.0,ns,4032
Array accumulation,,,,,63573600.0,ns,4095
Array accumulation,,,,,64566100.0,ns,4158
Array accumulation,,,,,65504700.0,ns,4221
Array accumulation,,,,,66440900.0,ns,4284
Array accumulation,,,,,67583800.0,ns,4347
Array accumulation,,,,,68383700.0,ns,4410
Array accumulation,,,,,69375300.0,ns,4473
Array accumulation,,,,,70351800.0,ns,4536
Array accumulation,,,,,71521400.0,ns,4599
Array accumulation,,,,,72279700.0,ns,4662
Array accumulation,,,,,73262200.0,ns,4725
Array accumulation,,,,,74287300.0,ns,4788
Array accumulation,,,,,75244300.0,ns,4851
Array accumulation,,,,,76217000.0,ns,4914
Array accumulation,,,,,77254000.0,ns,4977
Array accumulation,,,,,78241500.0,ns,5040
Array accumulation,,,,,79139000.0,ns,5103
Array accumulation,,,,,80126400.0,ns,5166
Array accumulation,,,,,81331200.0,ns,5229
Array accumulation,,,,,82073700.0,ns,5292
Array accumulation,,,,,83079400.0,ns,5355
Array accumulation,,,,,84014100.0,ns,5418
Array accumulation,,,,,85006400.0,ns,5481
Array accumulation,,,,,86026000.0,ns,5544
Array accumulation,,,,,86929200.0,ns,5607
Array accumulation,,,,,88008500.0,ns,5670
Array accumulation,,,,,88942800.0,ns,5733
Array accumulation,,,,,89915200.0,ns,5796
Array accumulation,,,,,90911800.0,ns,5859
Array accumulation,,,,,92031600.0,ns,5922
Array accumulation,,,,,97046600.0,ns,5985
Array accumulation,,,,,93656300.0,ns,6048
Array accumulation,,,,,94555200.0,ns,6111
Array accumulation,,,,,95577500.0,ns,6174
Array accumulation,,,,,96552100.0,ns,6237
Array accumulation,,,,,97536900.0,ns,6300
